commit,def_a_time,def_total_time,def_total_classes,prod1_a_time,prod1_total_time,prod1_total_classes,prod2_a_time,prod2_total_time,prod2_total_classes
0d078377120da9ea886bd95b19c8a618dc4d7ab5,217.263,23167.144217967987,588,212.814,21894.626192569733,582,206.326,22197.161102056503,582
748570b73c86ff02f1c056b988717ff0e1f2aee5,221.546,23051.4385304451,588,211.443,21768.353773593903,582,207.048,22516.546014785767,582
93a1685073d76bef5c6ad3819e7710317733bd7a,194.303,22085.783659219742,583,181.745,22944.569709300995,577,187.19,22240.136317014694,578
95454d821c6e4c08d49df195d7c1e0ea1aacafb9,221.493,22609.81500697136,523,219.874,21916.50510263443,523,216.55,21260.241790771484,524
4cac6ec40528f6a1252de43599003291cd5fe5c3,221.645,23515.309690475464,580,142.564,22183.028418302536,638,199.03,22212.656294107437,580
20a4b1ae36483b5574c09516373557c764903c72,205.227,21828.70946264267,578,137.616,22594.543107032776,638,212.67,23402.00125837326,577
d2e70034005b16b151e9ca9a43b1ac5893512a98,158.255,22278.560173749924,585,142.33,25127.73147392273,577,143.883,21926.89536881447,577
56c7ada7a524812208a2112412a757ec6be02e5e,69.483,23294.72284388542,617,56.582,21698.062432289124,638,65.62,21416.45688724518,600
52b9319e57881411a03b53eca6b3c5d123bed796,412.119,2535.2711465358734,2,404.738,4285.734472751617,1,203.549,23906.34884428978,636
9be17339eb1dfda01afe255831fac36a33141d85,227.553,21248.32062983513,524,223.313,21237.779908895493,524,223.743,21810.760546922684,523
390f8603d3a54ffae743fe240b9b0195bd01de06,408.137,2588.2832436561584,4,413.47,2629.4527909755707,4,415.666,3816.0719122886658,4
