commit,def_a_time,def_total_time,def_total_classes
1576f81dfe0156514ec06b6051e5df7928a294e2,0.256,20023.695731401443,750
c665ab02ed5c400b0c5e9e350686cd0e5b5e6972,217.22,20731.599718093872,608
028ec4704b9323954c091bcda3433f7b79cb61de,44.009,21653.08244585991,651
832a3c6a8918c73fa85518d5223df65b48f706e9,342.811,10619.320216417313,202
3fdeb7435add3593a0a367fff6e8622a73ad9fa3,420.341,2277.088621377945,5
98a74e23514392dc8859f407cd40d9c96d8c5923,199.985,20934.6683177948,623
1abd03d68f4f236674ce929164cc460037730abb,62.476,20197.4447619915,606
8ce30f51f999c0a80db53a2a96b5be5505d4d151,202.967,20503.36659693718,583
bce14e746b3d00e692820f28b72ffe306f74d0b2,303.158,18401.825803995132,409
b8ab19373d1a291b5faa9944e545b6d5c812a6eb,223.704,22566.753349542618,576
b38b00e52839911ab4e0b97fd269c53bf7d1380f,150.21,20369.795343399048,598
59fc4061cb619c85538277588f326469dfa08fb8,411.544,2242.2416729927063,0
4a26a61ecd54bd36b6d089f999359da5fca16723,218.222,20695.243275403976,570
f4b24c68e76df40d55258fc5391baabfa9ac362d,42.465,20469.55638241768,644
c748fce17ace8b45ee0f3c3967d87893765eea61,228.43,22388.14625287056,575
a2a0283c7be8eac641a256f06731cb6e4bab3b09,204.688,21044.597579717636,583
762a83e044b84250c6e2543e02f48136361ea3eb,203.446,22117.26768398285,704
a1a318417105f155ed5c9d34355309775eb43d11,224.378,21830.860965013504,617
eefa664fea1119a9c6e3ae2d2ad3069019fbd4ef,13.676,21334.507046461105,695
4ef27a596fd1d7be5e437ab444b12fe450e79e79,414.727,2475.719647169113,1
6e5692e7e221a22a86257ba5f85746102528e96d,212.934,20460.382911920547,570
51ebf7b2a0e82d8bcd34867aea915c7838541fb7,214.848,20772.785885334015,589
352949d07002a8435a8ff67eecf88e4aa8bd5935,424.485,3862.292399406433,17
ebee2aed00b5589fe610ff994d81feba86039297,146.813,21929.443586349487,583
c1bf3cb0daf0b6212aebb449c97b772af2133d98,163.985,20867.412615060806,522
839fcf7682270bc6ba151875549d64d81917f425,410.457,4513.6464285850525,15
2b304ad6457bca4286be18f689f8b855395831c6,219.939,20758.125389814377,564
9e7c7ad129fcf466d9647e0672ecf7dd72213e72,419.06,2545.957836151123,1
56d249759fcee4d9c44b3e8f37ef316abab7e91f,16.998,21808.1135263443,663
1ad674e5489e6080f21c308673ecc73a54ba3752,214.173,21119.81010866165,563
643dfd60e442b35fc9bb2dbf32fcdf28c3dd2f58,411.037,4833.611052036285,25
c491f81a30162eb294bcccbc64b771f95231ea21,157.837,21206.477834701538,603
c255feb5d7880e41abd9bd3acd0807233dc6124f,210.65,21886.43832874298,594
bdc9c8809e1f38c0e8cbb394ffa4f6cd1cf2a819,230.87,23965.75448346138,583
c488abbc79cc1ad2596cbf509a0cde14acc5ad6b,117.569,21943.093648433685,595
10b79a26fe0677b266acf237e8458e93743424a6,117.744,20379.3933365345,568
d9fbb3c5082baf301b082f51eea2f8a2e25e8715,419.081,5026.199253082275,16
fdef2b4ccacb8753aac0f5625505181c9b4dc154,84.623,21330.369157791138,640
f78b6d47f9d5c05bd990aec3481e6cede93d43ea,418.696,3100.436089515686,11
0d078377120da9ea886bd95b19c8a618dc4d7ab5,210.407,21349.296439886093,589
748570b73c86ff02f1c056b988717ff0e1f2aee5,203.936,22490.208332777023,588
93a1685073d76bef5c6ad3819e7710317733bd7a,182.074,20796.529328346252,583
95454d821c6e4c08d49df195d7c1e0ea1aacafb9,224.91,21047.841771125793,523
4cac6ec40528f6a1252de43599003291cd5fe5c3,239.766,23509.576031446457,581
20a4b1ae36483b5574c09516373557c764903c72,223.382,22464.30486345291,577
d2e70034005b16b151e9ca9a43b1ac5893512a98,164.4,21032.480749607086,586
56c7ada7a524812208a2112412a757ec6be02e5e,65.584,19738.166184663773,619
52b9319e57881411a03b53eca6b3c5d123bed796,416.784,3759.0816490650177,1
9be17339eb1dfda01afe255831fac36a33141d85,218.223,19981.42870283127,524
390f8603d3a54ffae743fe240b9b0195bd01de06,418.04,2537.3744399547577,4
