commit,def_a_time,def_total_time,def_total_classes,prod1_a_time,prod1_total_time,prod1_total_classes,prod2_a_time,prod2_total_time,prod2_total_classes
06ef9e9778ae2e1747b44bf994b241b890f07895,23.942,1029.0074224472046,175,22.527,978.4551556110382,127,19.253,854.8355982303619,128
45347bb81a76c303d91e1012805190b3f1accb2a,35.773,441.3411796092987,38,32.672,424.01861453056335,30,33.525,355.58709144592285,30
02fa0903a206bbcc42b7daaadb66e428e0a4184e,25.148,846.4917683601379,101,27.905,827.7462787628174,84,23.209,733.7510206699371,85
2382a70de56693cb2d618ea14ea15159ba95dbdb,32.352,502.3613920211792,44,17.321,1175.3477458953857,155,27.636,420.4037096500397,40
e766dd7b29440c7b5b60dbeb19e69a2924f0765c,37.62,311.5726523399353,16,40.659,106.74987483024597,6,35.481,240.42566680908203,12
e64b089ed16b17e9ebe6f5441f74c19aa7d0b170,31.025,686.3942792415619,77,18.607,1218.0490775108337,155,27.374,569.0945830345154,62
17750a72f5d098f75057b794688e4c3779fbde2d,40.974,291.1493818759918,12,40.251,81.27160978317261,3,35.473,211.92134594917297,9
6d2faf43233aa7bde346dde0f81e4d9464872850,28.74,583.3566601276398,52,32.494,374.02579617500305,42,27.136,495.1819622516632,48
7957b0cc7e0e8b162441df4d6152a544346682f6,38.061,284.8318603038788,12,19.851,990.238655090332,155,18.401,1140.780193567276,155
c49f7f63fca144765bf7c2da41791769286dfccc,44.078,61.44193434715271,0,31.338,48.232982873916626,0,39.709,58.42078733444214,0
8fa8344a8c0c72d167ce92b5f44f88beb43f325e,45.177,409.9131417274475,24,34.535,126.04356169700623,11,42.625,374.9020850658417,17
