commit,def_a_time,def_total_time,def_total_classes
a6329385a012aa8009ed0561a340e8a752b77a6a,0.284,1328.404546737671,295
43455061d3ee2ce3152932c771e6572586819d26,35.822,478.2195613384247,44
3cc539a561c4d35dc661c155768ffbfe2d2f073f,40.606,303.62875723838806,23
c42d6ccc1a8950c14b349acfdca376040a5ce052,23.681,566.4295525550842,76
52d1dc09153f732750977d90a068147834b79cba,29.917,599.7502777576447,74
a372d437b3fd82b2965620b1eb31c1b24cd0dd51,36.667,263.4683587551117,14
09ffa49df8c50e8278e2bfd070b4f6723dd74f20,39.234,258.43214440345764,11
4149459ddef47b877d1c1f2aa1d4f4aebcd11ece,37.309,260.99513030052185,15
67967f265f62d0f5319f11f822c485eb3299c802,29.568,634.2510454654694,71
446630b71323d60e0fa5e54616cf9449d299575b,40.342,277.5919804573059,19
d23a5b5aac4fd2b9bf7d0b4e4b46a8a68b9f5195,43.555,290.23162174224854,15
35264037efda5be27ebadc3755a92e1bc9988ebb,40.124,292.05888772010803,20
8392dc0ad2039805262354e3335f528961f82094,40.064,270.428688287735,15
1487d62d2119b4da3a2d71da2244d27e70ff92e9,40.112,303.1220245361328,22
f382086ca294475804b2417457172dfed1e647ac,16.325,1316.7112832069397,294
2a318009db48dc6c8ce6fd1180cfed951b8550b1,49.911,277.46400451660156,11
98259c679a19277ff0b918a18bff1c1734d7181f,27.81,485.21075987815857,52
cc701e2c2859f224a8329d0e4e6f95d256cc3ef0,37.589,283.52009415626526,20
0b7630bc1f392832eba36a62ef273d603fe75b56,37.148,261.1867718696594,15
8ea548441c347590baab25538a88126e9523a44a,35.193,254.27504134178162,15
71bd65c1f28a3815770a7e2d17f0f571237600ad,41.446,250.23514986038208,11
a2c4cb67a21186f41fc7f9be3b05be7f88f3ea8a,25.589,483.40170073509216,73
6057265388240b49273bc8e32633c2073dea060a,36.811,255.73748636245728,16
9ccbd8c6682159881cb39d202dc138b082b54425,29.275,484.1582205295563,52
563a404ac152541931b96cdcffc7c446b668c26b,40.769,260.58520102500916,14
230ce3e6b58347c30e792e4cb8902fc56286f874,29.717,501.831830739975,52
455f7bfd7b1ba1d3e3e1afd99c6c5182cdf1056d,37.929,272.5313742160797,15
5dd23e5b8c7bc965e8a079dd025bd4c904998b2d,37.487,253.00642561912537,12
801f9926c54d93b29f4a6b6bbb710390f1b0e73b,38.431,310.5562632083893,26
7ce597d34f8ccf3fbc2fa713cac4c0ff32c295ad,44.12,319.2643394470215,16
24b700848f2c766750044b31a2a88dc777f20a92,24.007,592.8094990253448,87
9b627905c7e6ffaea918b874cf88ebd1ff7a88c8,26.433,423.32436895370483,52
e4ad6e9f647dc07604b42733eecdff24dd30c519,27.977,686.0417175292969,104
60e263e03b7b0d2d0b4642d5e788aa0593e075c8,38.083,257.14791536331177,13
aa2b807026182fb176150bb0e2bcfeb640b2363d,23.433,518.8135697841644,69
f86bff0f53877176b16f87e17fe6fe97a2cbd583,29.231,504.4358184337616,68
b9b075f21a4276f080fafdf7e4dea566dc056207,32.472,534.1034700870514,68
f5af7611c0dbbb5ea7d65ef5d916fa363aa0e82c,26.61,445.46670603752136,52
1408c044b196d1a919f78c45829076f270cdeca7,29.461,595.2559943199158,72
06ef9e9778ae2e1747b44bf994b241b890f07895,25.046,932.3551943302155,175
45347bb81a76c303d91e1012805190b3f1accb2a,36.483,371.7716670036316,38
02fa0903a206bbcc42b7daaadb66e428e0a4184e,28.103,699.3687686920166,101
2382a70de56693cb2d618ea14ea15159ba95dbdb,33.241,409.5811803340912,44
e766dd7b29440c7b5b60dbeb19e69a2924f0765c,35.187,269.8952102661133,16
e64b089ed16b17e9ebe6f5441f74c19aa7d0b170,29.586,586.0494239330292,77
17750a72f5d098f75057b794688e4c3779fbde2d,38.79,258.1644093990326,12
6d2faf43233aa7bde346dde0f81e4d9464872850,32.796,514.3847017288208,52
7957b0cc7e0e8b162441df4d6152a544346682f6,38.323,254.93197894096375,12
c49f7f63fca144765bf7c2da41791769286dfccc,46.813,67.15434503555298,0
8fa8344a8c0c72d167ce92b5f44f88beb43f325e,40.693,311.1188702583313,24
