commit,def_a_time,def_total_time,def_total_classes,def_select_from_prev,def_select_from_cur,def_select_from_both,prod1_a_time,prod1_total_time,prod1_total_classes,prod1_select_from_prev,prod1_select_from_cur,prod1_select_from_both,prod2_a_time,prod2_total_time,prod2_total_classes,prod2_select_from_prev,prod2_select_from_cur,prod2_select_from_both
a6329385a012aa8009ed0561a340e8a752b77a6a,1.934,1386.3171775341034,295,295,295,295,2.415,24.617580890655518,0,295,0,0,2.61,24.063105583190918,0,295,0,0
43455061d3ee2ce3152932c771e6572586819d26,36.35,484.5763349533081,44,44,295,44,36.603,59.22172570228577,0,44,0,0,39.242,61.037745237350464,0,44,0,0
3cc539a561c4d35dc661c155768ffbfe2d2f073f,40.029,335.4865834712982,23,23,295,23,42.163,64.56459069252014,0,23,0,0,44.594,100.46481847763062,8,31,8,8
c42d6ccc1a8950c14b349acfdca376040a5ce052,26.666,643.0803546905518,77,77,295,77,25.744,48.273905515670776,0,76,0,0,25.785,58.58327674865723,2,77,8,2
52d1dc09153f732750977d90a068147834b79cba,33.058,686.8317975997925,75,75,295,75,34.644,57.36552667617798,0,74,0,0,32.549,66.85940361022949,2,75,8,2
a372d437b3fd82b2965620b1eb31c1b24cd0dd51,44.891,311.38244009017944,16,16,295,16,42.143,63.75017285346985,0,14,0,0,43.884,76.09261918067932,2,16,8,2
09ffa49df8c50e8278e2bfd070b4f6723dd74f20,48.241,292.9597294330597,13,13,295,13,45.544,67.31532406806946,0,11,0,0,48.275,81.16498923301697,2,13,8,2
4149459ddef47b877d1c1f2aa1d4f4aebcd11ece,40.632,296.74044823646545,17,17,295,17,42.518,63.15914797782898,0,15,0,0,42.875,75.23762011528015,2,17,8,2
67967f265f62d0f5319f11f822c485eb3299c802,32.436,703.3950700759888,72,72,295,72,34.294,58.11606550216675,0,71,0,0,33.986,176.9383978843689,15,85,15,15
446630b71323d60e0fa5e54616cf9449d299575b,40.974,308.8847942352295,21,21,295,21,43.443,96.19505834579468,8,27,8,8,45.959,96.38638663291931,3,21,15,3
d23a5b5aac4fd2b9bf7d0b4e4b46a8a68b9f5195,39.836,309.12429904937744,17,17,295,17,42.414,77.14111304283142,2,17,8,2,41.71,83.30857300758362,3,17,15,3
35264037efda5be27ebadc3755a92e1bc9988ebb,41.087,331.5892596244812,22,22,295,22,43.285,76.15302920341492,2,22,8,2,42.53,75.94113183021545,2,22,15,2
8392dc0ad2039805262354e3335f528961f82094,41.626,311.1643168926239,17,17,295,17,45.155,79.75447297096252,2,17,8,2,44.356,85.67585229873657,3,17,15,3
1487d62d2119b4da3a2d71da2244d27e70ff92e9,40.142,354.93876242637634,24,24,295,24,41.458,76.06506752967834,2,24,8,2,41.794,95.89880394935608,3,24,15,3
f382086ca294475804b2417457172dfed1e647ac,17.598,1404.919305562973,294,294,295,294,20.887,83.77952933311462,8,294,8,8,21.775,122.06504392623901,13,292,15,13
2a318009db48dc6c8ce6fd1180cfed951b8550b1,46.015,301.5967004299164,13,13,295,13,46.09,81.78490233421326,2,13,8,2,46.893,82.25394344329834,2,13,15,2
98259c679a19277ff0b918a18bff1c1734d7181f,32.064,549.1567764282227,53,53,295,53,31.495,65.21935486793518,2,53,8,2,29.928,63.30201554298401,2,53,11,2
cc701e2c2859f224a8329d0e4e6f95d256cc3ef0,44.041,348.19346380233765,22,22,295,22,42.818,76.26657390594482,2,22,8,2,44.834,96.29193592071533,3,29,6,3
0b7630bc1f392832eba36a62ef273d603fe75b56,41.475,303.8210575580597,15,15,295,15,40.596,75.11075854301453,2,17,8,2,40.73,75.90818881988525,2,17,6,2
8ea548441c347590baab25538a88126e9523a44a,39.391,300.3639507293701,15,15,295,15,42.092,77.04163980484009,2,17,8,2,41.296,76.57688879966736,2,17,6,2
71bd65c1f28a3815770a7e2d17f0f571237600ad,43.853,271.37898349761963,11,11,295,11,42.364,74.43354916572571,2,13,8,2,44.363,76.10923957824707,2,13,6,2
a2c4cb67a21186f41fc7f9be3b05be7f88f3ea8a,37.769,745.835691690445,73,73,295,73,36.669,104.86289358139038,8,80,8,8,32.534,69.95294904708862,2,74,6,2
6057265388240b49273bc8e32633c2073dea060a,42.473,301.12185168266296,16,16,295,16,39.841,137.2701461315155,11,27,11,11,40.441,73.26885628700256,2,18,6,2
9ccbd8c6682159881cb39d202dc138b082b54425,29.255,542.270758152008,52,52,295,52,29.33,105.60597109794617,6,57,15,6,33.316,67.94942378997803,2,53,6,2
563a404ac152541931b96cdcffc7c446b668c26b,40.288,286.20907068252563,14,14,295,14,40.97,138.28108739852905,11,25,11,11,39.398,70.9708104133606,2,16,6,2
230ce3e6b58347c30e792e4cb8902fc56286f874,29.936,515.5475287437439,52,52,295,52,33.415,65.32497143745422,2,53,11,2,28.59,60.235339403152466,2,53,6,2
455f7bfd7b1ba1d3e3e1afd99c6c5182cdf1056d,38.791,291.6785821914673,15,15,295,15,39.163,73.16330909729004,2,17,11,2,37.604,69.49812150001526,2,17,6,2
5dd23e5b8c7bc965e8a079dd025bd4c904998b2d,44.737,298.66166615486145,12,12,295,12,44.814,79.51984071731567,2,14,11,2,45.45,79.61145401000977,2,14,6,2
801f9926c54d93b29f4a6b6bbb710390f1b0e73b,39.124,334.3507168292999,26,26,295,26,39.724,93.59442377090454,4,28,11,4,41.581,94.50569438934326,4,28,6,4
