commit,def_a_time,def_total_time,def_total_classes,def_select_from_prev,def_select_from_cur,def_select_from_both,prod1_a_time,prod1_total_time,prod1_total_classes,prod1_select_from_prev,prod1_select_from_cur,prod1_select_from_both,prod2_a_time,prod2_total_time,prod2_total_classes,prod2_select_from_prev,prod2_select_from_cur,prod2_select_from_both
acbfb2d78996cbaa29b9dc764d4cb3463193dc45,1.666,1178.0219926834106,296,296,296,296,1.841,19.151774168014526,0,296,0,0,1.909,20.7002694606781,0,296,0,0
9213f7353b1e6ce4d0fdbc1dca963ace1fd32cec,10.365,215.66872143745422,4,4,296,4,11.39,28.32896614074707,0,4,0,0,10.591,28.245118379592896,0,4,0,0
ad5513b8dd15637c6c95585603a4e055dabad56d,7.273,933.4951121807098,203,203,296,203,7.196,25.616346836090088,0,203,0,0,7.379,28.48904538154602,1,203,1,1
061438e83e61692fc9e06e057a739db5327d42b9,7.524,954.4011373519897,211,211,297,211,8.225,26.879116773605347,1,211,1,1,7.74,25.920740842819214,0,211,0,0
7fdadf7273f34dd0552db25a3771cf55b65e9208,7.01,1069.1648697853088,191,191,297,191,6.906,24.746165990829468,1,191,1,1,7.082,24.458085775375366,0,191,0,0
ea75e1f63572fc72fb8520ba8c793523047acb49,8.9,463.43374705314636,15,15,298,15,9.535,23.65748620033264,0,15,1,0,9.921,23.641876935958862,0,15,0,0
c583a6e79654359b5daad5093d1730e370d3b75b,9.399,781.4810576438904,150,150,296,150,8.229,25.642741441726685,0,150,1,0,8.023,24.63081955909729,0,150,0,0
1590a424cb7a8768b0ae01f2957856b1834dd68d,8.358,667.9895257949829,153,153,298,153,7.906,21.69359016418457,0,153,1,0,8.421,23.010462284088135,0,153,0,0
f8ebf1a25281b2c7f48e08011918c72643313209,9.932,113.20303702354431,1,1,297,1,9.799,25.606969594955444,0,1,1,0,9.899,25.468822479248047,0,1,0,0
96d87e2809f92460f182c66311d83d59f2ab96c3,7.212,856.2076444625854,200,200,297,200,7.102,23.08042049407959,1,200,1,1,7.268,22.23622417449951,0,200,0,0
f5c29aab9adb49d9d3580074d4d1a805579fa20d,9.832,61.05790615081787,7,7,298,7,10.46,24.887062072753906,0,7,1,0,10.09,24.07741117477417,0,7,0,0
766e173e9d51b6354920ebc136b246d221b87ec1,7.612,788.785572052002,180,180,297,180,8.565,25.82270908355713,1,180,1,1,7.468,24.474349975585938,0,180,0,0
b79abb2014db9684c00afd7d98c0a7cb69ce6c8b,8.38,1109.114649772644,192,192,296,192,8.452,28.82316279411316,1,192,1,1,8.438,26.874817609786987,0,192,0,0
c499202a2c470e2e365ef109c8e49784cb043367,6.044,990.7909388542175,211,211,297,211,5.894,25.381135940551758,1,211,1,1,6.043,23.122583150863647,0,211,0,0
5e787c5990091b2d1fc560eba88d3c25b04690a2,9.561,22.874921083450317,0,0,298,0,9.57,23.737194776535034,0,0,1,0,9.596,24.030698537826538,0,0,0,0
32e40e8cee36ddba1973875ab6637912719271fa,7.009,1144.6252698898315,210,210,297,210,7.763,25.840410232543945,1,210,1,1,7.224,23.17535400390625,0,210,0,0
5e6e15ac40cfd2cadac3e718e494a3c13b934b8d,7.067,991.2988083362579,185,185,297,185,8.066,27.59212064743042,1,185,1,1,8.291,25.164191722869873,0,185,0,0
