commit,def_a_time,def_total_time,def_total_classes,prod1_a_time,prod1_total_time,prod1_total_classes,prod2_a_time,prod2_total_time,prod2_total_classes
2d05d7c4b24ef1662afafdae8daf33b2e79a3270,1.687,778.0933637619019,245,1.9070000000000003,518.0391006469727,118,1.9240000000000002,515.9423067569733,118
fe7ee4a3ae52e4f3f1466ae0682bc265d86a0252,13.953999999999997,531.0672578811646,54,8.879,448.797123670578,49,7.726000000000001,445.2820086479187,49
4da0071c805923489d9da506b58cc829b82cfe71,10.619000000000002,665.7571198940277,136,6.533,526.5639476776123,118,5.9,526.4418358802795,118
6a9794218cd1edfd88e7e159a1801419fa98da7d,15.611000000000002,196.1367063522339,44,8.894,164.48912954330444,38,9.211,165.07385396957397,38
11e47c48990a4703c606621a3ef1013ac0598419,10.434000000000001,653.1912701129913,135,5.867,517.4907767772675,118,5.908,502.1693367958069,118
7a2aaae3c605349a1e2c8d9f530a54b70c3305c4,17.684,300.7467541694641,25,10.326,249.13639569282532,23,9.663,253.10461568832397,23
698b4f0a01bb821a9daa796d3b28f35564478116,11.948000000000002,647.5190546512604,136,6.243,530.7936577796936,118,7.481,540.1563320159912,118
1dabaeba80c4c547fe4d32c0da429b1e7377479d,12.120000000000001,654.7381908893585,135,6.473999999999999,540.9844059944153,118,6.533,519.998194694519,118
2e046aae83facd12cd2776b960e42d7a66cead8c,10.813000000000002,724.3596189022064,136,7.069000000000001,562.7343649864197,118,6.372,509.1112322807312,118
46116a76149d2f137a71d9a180d1f6193f4bf1c8,11.693,654.2123160362244,135,7.085000000000001,549.6786549091339,118,7.33,542.9160687923431,118
5e943c29e19d713659df98c3f19867dffaa0f882,15.814000000000002,271.8179762363434,13,9.57,131.85878777503967,7,10.909,134.35811972618103,7
6f2b2fa59fa5331942048f8e5e8a3a3a831f80b9,16.461,376.8872516155243,28,10.196,149.37780833244324,21,10.158,149.18850350379944,21
5cf33595cb8c6e6d2738a211e12d445b5e98b663,12.426,483.0176441669464,41,8.894,425.485383272171,29,8.356,393.4409644603729,29
5063016989da5284e1a94e80b7b2f2258aadaa7e,11.634,648.7140648365021,135,7.138999999999999,531.5599601268768,118,7.192,536.5228638648987,118
e9136cfd354d28ca9e953b282f4c327a0362d587,12.554,635.5516896247864,135,6.124,521.1197097301483,118,7.775,527.970397233963,118
e697da0a75d6f98f31d6cdd0c7190bf29d5da827,16.977000000000004,470.0471405982971,19,11.275,363.5370237827301,9,11.350000000000001,346.53478264808655,9
d3b045247ae9baecc6fe45af8d410df38335d43d,15.368,369.15454292297363,28,9.612,117.51045751571655,9,9.449,116.25485181808472,9
984251fe3345659541c4b2330d2185320fa27738,12.514,669.5839991569519,133,6.954,530.3610258102417,117,7.548,514.4359664916992,117
f64540541748ba088eafbbac37fbd8c0458c410e,11.271999999999998,641.6663684844971,135,7.311999999999999,507.1200933456421,118,6.471,538.1743621826172,118
3c0275f4b81af80f98c8e0f1043bab8c8803f07c,14.918000000000001,388.31059527397156,28,9.371,204.55083322525024,13,9.222000000000001,162.80791926383972,13
696cb89bfc8b7dd41393e3003307947d2110e21f,14.344000000000001,529.1733729839325,39,9.309999999999999,399.62144804000854,28,9.132,385.1604173183441,28
ed7588da4adabc0555a018140b82f2f8215fe506,12.966,512.7107994556427,41,8.59,388.32815957069397,29,8.866,392.2585780620575,29
4c8b555920da6a844f3f30cc70493b563178518d,14.745,468.45232939720154,31,9.277,402.8104422092438,14,9.530000000000001,410.98164343833923,15
3064609e7489ea3c2111fd6d3c85b48270dc18f8,11.997,641.7233765125275,135,6.761,534.9475820064545,118,6.889,515.5606529712677,118
a16bc958dd283dc9bc7c9fe7f17627ace327eb28,12.234,661.1770992279053,135,6.931,551.697815656662,118,7.227,524.843799829483,118
dc922657fdbb6c5ccbbf2e0c1d2e02c66c921204,14.382999999999997,253.400465965271,15,8.798,158.93435406684875,10,9.385,144.20663928985596,10
278b9e263842d61d7168cc29cac44666bfeea0d0,10.653,675.3555884361267,135,5.76,554.6378374099731,118,5.947,534.5614478588104,118
fa54b1bcd9fc891413cbd168862706d0fad0ad02,12.41,696.388667345047,135,7.513999999999999,533.7948591709137,118,7.77,520.5988430976868,118
067e9d432166d44a82fb26aa1ffa8660b665e2f0,12.317,661.8036825656891,135,6.776,523.3556151390076,118,7.55,534.9137098789215,118
0dfa1615292a5c1adca7023a5f1330110df82482,14.892,441.305136680603,16,9.229999999999999,357.6826260089874,14,9.827,356.93284606933594,14
2df1da2d4f6caa47574640bf54c52447e8c0f3ea,14.624,449.3253412246704,26,9.658,344.4536671638489,10,9.424,326.43807315826416,10
03f686a42238c9e5868132052810f3b5f93be918,12.100999999999999,735.1903147697449,132,7.9350000000000005,554.3275833129883,118,8.248999999999999,533.5884404182434,118
38f110d924e016eff159ac1c8bb5cac14d3a2696,12.350000000000001,683.0994429588318,135,7.593999999999999,575.4011533260345,118,6.608,538.8132185935974,118
ebc291ff23f8b4ab6809a6876283e23287b1c64d,11.262999999999998,655.442036151886,132,7.526,520.5817339420319,118,7.08,500.9575443267822,118
b9c66ca164d363bed9bcefb776a0b0f438d96441,11.089,640.9090514183044,135,7.298,501.454313993454,118,6.5360000000000005,504.5223512649536,118
050882ecee4ae4dc1bcf3eadcf0ecab3ca192f53,10.083,646.5345430374146,135,4.569000000000001,536.5174641609192,118,5.162000000000001,520.1647469997406,118
c6e5c2c1243bb9b07ff013ccc9efbb4146b3c92c,15.611999999999998,503.05484437942505,25,9.742,343.2975392341614,18,9.706,342.61428928375244,17
f950a7229e1183fdf5142ba4de6c6c9d9de1b3f6,10.985999999999999,684.5456113815308,142,6.404000000000001,522.4649107456207,120,7.67,523.4135885238647,120
f4f80a2d571903dbbbd824bf8fc5290a9b1a8d8c,12.901,715.2289571762085,137,7.4799999999999995,594.2810974121094,119,7.2250000000000005,543.2407851219177,119
c81d35f48521dcc7bf717594531dc7f76795b9cb,16.672,148.44488739967346,24,9.158999999999999,141.0813183784485,24,9.524999999999999,141.79438710212708,24
6f3fe6f4637261044b3938e620ac00e6e6e75708,11.704,664.5611925125122,137,7.378,507.59788179397583,120,7.0680000000000005,510.45066380500793,120
b8aad79c004719566d679632026adefdcba8dea7,12.710999999999999,695.7875745296478,136,7.936999999999999,528.1465337276459,119,7.027,553.192549943924,119
efe8f4c3f050910179f480896b424c93990a6941,12.087,670.7212915420532,136,6.752,513.841338634491,119,7.095000000000001,522.5704071521759,119
ff293c735c7f12eec4ad8e4ec66a1c2f9598c0a8,10.870999999999999,667.393860578537,136,6.606,501.7324504852295,119,6.840999999999999,512.4969940185547,119
9f3676b5b81b8bbf165ed8c3fac85e6ced95c23b,14.467999999999998,534.7319247722626,42,8.271,392.45938372612,30,8.347000000000001,400.6198754310608,30
c1e12fb78bb0110c6e5d85ca112d7a0d904a7c8a,13.045999999999998,691.7057919502258,136,7.444000000000001,527.2910060882568,119,8.543,527.130793094635,119
6accf76ff7915a94e78c88d8e0f96a0951d379eb,12.574,678.8170137405396,137,7.243,517.662921667099,119,8.129999999999999,517.3501343727112,119
40d2a06c1e8ceeff35e7f7ec0eaef549164c86dd,10.961,652.4299731254578,136,7.231,499.557480096817,119,6.771000000000001,497.8372869491577,119
2d939de0cafdb31f5cc19d3170751cc3fa15a972,13.837000000000002,549.495719909668,57,8.807,399.978803396225,44,7.627,432.5644814968109,44
67288abbec68128272de74500b989dd82a24b2fb,16.054,162.53349018096924,24,10.400999999999998,160.72672700881958,24,10.328,160.13953375816345,24
