commit,def_a_time,def_total_time,def_total_classes,def_select_from_prev,def_select_from_cur,def_select_from_both,prod1_a_time,prod1_total_time,prod1_total_classes,prod1_select_from_prev,prod1_select_from_cur,prod1_select_from_both,prod2_a_time,prod2_total_time,prod2_total_classes,prod2_select_from_prev,prod2_select_from_cur,prod2_select_from_both
2d05d7c4b24ef1662afafdae8daf33b2e79a3270,5.193,974.3867087364197,246,246,246,246,6.404,62.93447518348694,1,246,1,1,6.631,61.598745584487915,1,246,1,1
fe7ee4a3ae52e4f3f1466ae0682bc265d86a0252,18.304000000000002,559.9946310520172,55,55,246,55,18.096,71.47432041168213,1,55,1,1,18.73,73.19317555427551,1,55,1,1
4da0071c805923489d9da506b58cc829b82cfe71,15.472000000000001,775.4354817867279,137,137,246,137,16.189,69.50041556358337,1,137,1,1,16.668000000000003,71.05961608886719,1,137,1,1
6a9794218cd1edfd88e7e159a1801419fa98da7d,19.032,469.1289391517639,60,60,246,60,18.901,66.28229236602783,1,45,1,1,19.884,67.32509803771973,1,45,1,1
11e47c48990a4703c606621a3ef1013ac0598419,15.501999999999999,719.1397271156311,136,136,246,136,16.252000000000002,69.79635906219482,1,136,1,1,16.759999999999998,342.4995036125183,17,136,17,17
7a2aaae3c605349a1e2c8d9f530a54b70c3305c4,19.951,310.30517387390137,26,26,246,26,19.705000000000005,70.96028661727905,1,26,1,1,19.141000000000002,85.17402791976929,4,26,17,4
698b4f0a01bb821a9daa796d3b28f35564478116,14.325,708.7432029247284,137,137,246,137,15.81,66.78895354270935,1,137,1,1,16.895,337.00250935554504,18,137,18,18
1dabaeba80c4c547fe4d32c0da429b1e7377479d,15.423,742.9185328483582,136,136,246,136,16.794999999999998,261.108229637146,20,136,20,20,15.758000000000001,67.68320083618164,1,136,1,1
2e046aae83facd12cd2776b960e42d7a66cead8c,15.96,710.2281053066254,137,137,246,137,15.850000000000001,259.4139459133148,21,138,21,21,17.104,68.3288950920105,1,137,1,1
46116a76149d2f137a71d9a180d1f6193f4bf1c8,14.604000000000001,749.7285976409912,136,136,246,136,15.830000000000002,289.14731907844543,21,137,21,21,15.969999999999999,67.9190890789032,1,136,1,1
5e943c29e19d713659df98c3f19867dffaa0f882,20.502,295.7687759399414,14,14,246,14,20.046999999999997,136.20341444015503,4,14,20,4,20.709,73.05737829208374,1,14,1,1
6f2b2fa59fa5331942048f8e5e8a3a3a831f80b9,20.988000000000003,406.1739628314972,29,29,246,29,21.434,137.76233172416687,6,29,20,6,21.728,76.09797787666321,1,29,1,1
5cf33595cb8c6e6d2738a211e12d445b5e98b663,17.325,540.9236381053925,42,42,246,42,16.999,253.7069582939148,10,42,20,10,17.021,69.09346842765808,1,42,1,1
5063016989da5284e1a94e80b7b2f2258aadaa7e,15.96,726.5675530433655,136,136,246,136,16.477,269.8558773994446,20,136,20,20,15.609,65.7552764415741,1,136,1,1
e9136cfd354d28ca9e953b282f4c327a0362d587,16.209,745.0639674663544,136,136,246,136,16.069000000000003,272.6951415538788,20,136,20,20,16.705000000000002,67.10953545570374,1,136,1,1
e697da0a75d6f98f31d6cdd0c7190bf29d5da827,19.267,512.4734876155853,20,20,246,20,18.256999999999998,252.89858770370483,10,20,20,10,18.691,69.36754536628723,1,20,1,1
d3b045247ae9baecc6fe45af8d410df38335d43d,18.268,385.80101895332336,29,29,246,29,17.500999999999998,113.60600876808167,4,29,20,4,18.765,346.1858570575714,19,45,19,19
984251fe3345659541c4b2330d2185320fa27738,15.376999999999999,740.0678241252899,134,134,246,134,17.220000000000002,308.6331670284271,20,134,20,20,17.278000000000002,362.2142369747162,19,135,19,19
f64540541748ba088eafbbac37fbd8c0458c410e,15.066999999999998,720.8154189586639,136,136,246,136,16.016,254.20962071418762,20,136,20,20,16.258,343.9422996044159,16,136,16,16
3c0275f4b81af80f98c8e0f1043bab8c8803f07c,19.262999999999998,456.91760182380676,29,29,246,29,18.612,181.6819088459015,6,29,20,6,19.201,121.5205466747284,5,29,16,5
696cb89bfc8b7dd41393e3003307947d2110e21f,16.881,511.8268949985504,40,40,246,40,17.61,246.68669366836548,10,40,20,10,18.209,301.95002698898315,7,40,16,7
ed7588da4adabc0555a018140b82f2f8215fe506,17.532999999999998,537.2057600021362,42,42,246,42,17.563000000000002,252.06521439552307,22,52,23,22,18.881999999999998,311.8782081604004,7,42,16,7
4c8b555920da6a844f3f30cc70493b563178518d,17.957,491.82009291648865,32,32,246,32,17.996,176.9110026359558,8,31,23,8,18.161,322.1670415401459,5,32,16,5
3064609e7489ea3c2111fd6d3c85b48270dc18f8,16.605999999999998,777.0595450401306,136,136,246,136,17.456,265.62830662727356,23,136,23,23,17.445999999999998,359.6837491989136,16,136,16,16
