,commit,urts_total_time,urts_total_classes,safe_total_time,safe_total_classes,unsafe_total_time,unsafe_total_classes,retestall_total_time,retestall_total_classes,TIME_urts_/_retestall,TIME_urts_/_safe,TIME_urts_/_unsafe,TIME_safe_/_retestall,TIME_safe_/_unsafe,TIME_unsafe_/_retestall,CLASSES_urts_/_retestall,CLASSES_urts_/_safe,CLASSES_urts_/_unsafe,CLASSES_safe_/_retestall,CLASSES_safe_/_unsafe,CLASSES_unsafe_/_retestall
0,1576f81dfe0156514ec06b6051e5df7928a294e2,2100.3833627700806,508.0,5002.140119075775,1026.0,2146.144913673401,508.0,4467.061455368996,1030.5,0.470193522913282,0.41989694666093436,0.9786773248107493,1.119783143583947,2.3307559928532386,0.48043774080921425,0.49296458030082485,0.4951267056530214,1.0,0.9956331877729258,2.0196850393700787,0.49296458030082485
1,c665ab02ed5c400b0c5e9e350686cd0e5b5e6972,284.4543089866638,41.0,532.7664136886597,111.0,178.1425588130951,41.0,4467.061455368996,1030.5,0.06367817229037133,0.5339193719386643,1.5967790677415252,0.11926552141975204,2.990674531893479,0.039879137682107366,0.039786511402231925,0.36936936936936937,1.0,0.10771470160116449,2.707317073170732,0.039786511402231925
2,832a3c6a8918c73fa85518d5223df65b48f706e9,1146.0519943237305,256.0,2861.251389026642,551.0,620.0242748260498,152.0,4467.061455368996,1030.5,0.25655612884982404,0.4005422238391998,1.8483985883379481,0.6405220563034076,4.614740914505931,0.13879913697646534,0.24842309558466763,0.4646098003629764,1.6842105263157894,0.534691897137312,3.625,0.14750121300339641
3,98a74e23514392dc8859f407cd40d9c96d8c5923,1281.4061675071716,252.0,2946.8741261959076,556.0,822.0606331825256,150.0,4467.061455368996,1030.5,0.2868566238252755,0.4348357319086876,1.558773301850419,0.6596896316825991,3.584740598497435,0.18402716000123182,0.2445414847161572,0.45323741007194246,1.68,0.53954391072295,3.7066666666666666,0.14556040756914118
4,8ce30f51f999c0a80db53a2a96b5be5505d4d151,566.4513230323792,21.0,1331.1086711883545,57.0,428.5357186794281,19.0,4467.061455368996,1030.5,0.12680625254249792,0.4255485185343107,1.3218298926818763,0.29798306660600893,3.1061790491823813,0.09593235350822579,0.020378457059679767,0.3684210526315789,1.105263157894737,0.055312954876273655,3.0,0.018437651625424552
5,59fc4061cb619c85538277588f326469dfa08fb8,159.16432356834412,3.0,145.64688110351562,3.0,55.657217502594,1.0,4467.061455368996,1030.5,0.03563065454965776,1.0928096939832252,2.8597247708426314,0.03260462891739748,2.6168552370899154,0.01245946984581982,0.002911208151382824,1.0,3.0,0.002911208151382824,3.0,0.0009704027171276079
6,4a26a61ecd54bd36b6d089f999359da5fca16723,1127.559175491333,234.0,2623.4808683395386,504.0,601.0363481044769,134.0,4467.061455368996,1030.5,0.2524163114290964,0.42979508221266016,1.8760249343444562,0.587294554720387,4.364928804411517,0.134548484302155,0.22707423580786026,0.4642857142857143,1.7462686567164178,0.4890829694323144,3.7611940298507465,0.13003396409509946
7,f4b24c68e76df40d55258fc5391baabfa9ac362d,2187.7524235248566,461.0,4156.437569141388,736.0,1417.8370108604431,253.0,4467.061455368996,1030.5,0.48975203170652154,0.5263527689594985,1.543021099581238,0.9304634849260319,2.931534116618221,0.3173981430580799,0.44735565259582727,0.626358695652174,1.8221343873517786,0.7142163998059194,2.909090909090909,0.2455118874332848
8,762a83e044b84250c6e2543e02f48136361ea3eb,2434.070344686508,556.0,4539.046453714371,866.0,1589.1850481033323,348.0,4467.061455368996,1030.5,0.5448929612913609,0.5362514725300226,1.5316468951123932,1.0161146201064362,2.856210143136982,0.3557562536314065,0.53954391072295,0.6420323325635104,1.5977011494252873,0.8403687530325085,2.4885057471264367,0.33770014556040756
9,4ef27a596fd1d7be5e437ab444b12fe450e79e79,163.367356300354,4.0,1630.0850279331207,259.0,53.46272468566895,0.0,4467.061455368996,1030.5,0.036571548865530275,0.10022014404211597,3.055724474591654,0.3649121562842859,30.490122557671963,0.011968208904180553,0.0038816108685104317,0.015444015444015444,inf,0.2513343037360505,inf,0.0
10,6e5692e7e221a22a86257ba5f85746102528e96d,1224.2817089557648,318.0,2810.2692754268646,504.0,613.2466034889221,134.0,4467.061455368996,1030.5,0.2740686962083969,0.4356456940482342,1.9963937867580552,0.6291091590085872,4.582608789740537,0.1372818819745263,0.30858806404657935,0.6309523809523809,2.373134328358209,0.4890829694323144,3.7611940298507465,0.13003396409509946
11,9e7c7ad129fcf466d9647e0672ecf7dd72213e72,592.424156665802,117.0,4499.963390827179,820.0,47.87753081321716,1.0,4467.061455368996,1030.5,0.13262055214256407,0.13165088362127833,12.37374080499273,1.0073654539537704,93.989044848255,0.0107179028745335,0.11353711790393013,0.14268292682926828,117.0,0.7957302280446386,820.0,0.0009704027171276079
12,c488abbc79cc1ad2596cbf509a0cde14acc5ad6b,478.4457986354828,87.0,618.9090282917023,111.0,215.9596829414368,43.0,4467.061455368996,1030.5,0.10710526448218774,0.7730470501554604,2.215440364233291,0.13854947698286774,2.8658544959039225,0.048344909757593146,0.08442503639010189,0.7837837837837838,2.0232558139534884,0.10771470160116449,2.5813953488372094,0.041727316836487144
13,20a4b1ae36483b5574c09516373557c764903c72,570.868766784668,122.0,1593.0637798309326,264.0,52.32369089126587,3.0,4467.061455368996,1030.5,0.1277951450832485,0.35834646045700236,10.910330618132297,0.35662454966143725,30.446318917782133,0.011713223875256433,0.11838913148956817,0.4621212121212121,40.666666666666664,0.2561863173216885,88.0,0.002911208151382824
