commit,def_a_time,def_total_time,def_total_classes,def_select_from_prev,def_select_from_cur,def_select_from_both,prod1_a_time,prod1_total_time,prod1_total_classes,prod1_select_from_prev,prod1_select_from_cur,prod1_select_from_both,prod2_a_time,prod2_total_time,prod2_total_classes,prod2_select_from_prev,prod2_select_from_cur,prod2_select_from_both
1576f81dfe0156514ec06b6051e5df7928a294e2,1.27,2035.211876153946,508,508,508,508,1.981,31.623011827468872,0,508,0,0,2.05,33.54847478866577,0,508,0,0
c665ab02ed5c400b0c5e9e350686cd0e5b5e6972,20.217,182.17547821998596,41,41,508,41,20.791,50.82677960395813,0,41,0,0,21.283,51.45205116271973,0,41,0,0
832a3c6a8918c73fa85518d5223df65b48f706e9,18.579,654.1238775253296,152,152,509,152,18.383,443.3215835094452,104,164,104,104,18.652,48.60653328895569,0,152,0,0
98a74e23514392dc8859f407cd40d9c96d8c5923,17.356,802.0222480297089,150,150,509,150,16.544,427.4512588977814,102,151,104,102,18.819,51.9326605796814,0,150,0,0
8ce30f51f999c0a80db53a2a96b5be5505d4d151,20.911,447.2928423881531,19,19,509,19,22.31,62.63316774368286,2,21,104,2,21.205,56.52531290054321,0,19,0,0
59fc4061cb619c85538277588f326469dfa08fb8,19.808,51.75967574119568,1,1,510,1,19.364,56.25694680213928,2,3,104,2,21.18,51.147701025009155,0,1,0,0
4a26a61ecd54bd36b6d089f999359da5fca16723,17.551,559.1851289272308,134,134,510,134,17.004,344.90572810173035,79,115,104,79,18.23,223.46831846237183,21,142,21,21
f4b24c68e76df40d55258fc5391baabfa9ac362d,9.528,1380.6060342788696,253,253,510,253,9.914,406.16016578674316,104,253,104,104,9.82,400.9862234592438,104,253,104,104
762a83e044b84250c6e2543e02f48136361ea3eb,12.927,1586.0068588256836,348,348,510,348,13.672,418.94964241981506,104,348,104,104,12.982,429.1138434410095,104,348,104,104
4ef27a596fd1d7be5e437ab444b12fe450e79e79,20.593,51.6820924282074,0,0,510,0,20.041,55.060691118240356,2,2,104,2,20.126,56.62457275390625,2,2,104,2
6e5692e7e221a22a86257ba5f85746102528e96d,15.516,515.2151944637299,134,134,510,134,14.67,389.7510197162628,105,140,105,105,15.683,319.3154947757721,79,115,104,79
9e7c7ad129fcf466d9647e0672ecf7dd72213e72,21.571,54.82310962677002,1,1,510,1,21.874,58.25727987289429,2,2,105,2,22.051,479.3437671661377,114,114,114,114
c488abbc79cc1ad2596cbf509a0cde14acc5ad6b,19.627,213.73687553405762,43,43,510,43,19.051,150.1608350276947,26,44,105,26,17.696,114.54808807373047,18,36,114,18
20a4b1ae36483b5574c09516373557c764903c72,18.989,51.55866813659668,3,3,510,3,19.651,464.2763662338257,115,118,115,115,17.96,55.033732414245605,4,7,114,4
f639fbc29f7313ef6a54df4126bc56bee7c39f98,19.87,60.79059433937073,4,4,510,4,19.405,52.36722803115845,2,2,115,2,18.177,55.81211018562317,4,4,114,4
a5db6831bc674a24a3251cf1b20f22a4fd4fac9f,18.442,307.0012309551239,18,18,510,18,18.64,53.445865869522095,2,20,115,2,16.71,54.83705806732178,4,22,114,4
618c9218eeed2dc0388010e04349b3df8d6c5b70,15.238,1126.4411981105804,200,200,510,200,14.535,408.33638620376587,102,201,115,102,13.536,375.6883234977722,88,191,114,88
ba325a8ada573291266c4d6447862072fdf88af5,19.082,412.6870381832123,51,51,510,51,18.784,150.1043198108673,24,53,115,24,17.74,116.0316972732544,17,48,114,17
ea90c5117dc4021e0c55ba12aa8d1657838714be,19.775,51.5972957611084,1,1,510,1,20.374,55.687702894210815,2,3,115,2,19.706,58.69479823112488,4,5,114,4
1dd03cc4b573270dc960117c3b6c74bb78215caa,15.695,731.7205862998962,134,134,510,134,15.823,448.93559670448303,106,134,113,106,16.402,87.74344444274902,16,51,112,16
87e00001372a37199e1c8d595e237dfb4016853b,23.03,54.14347720146179,0,0,510,0,22.315,60.04936218261719,2,2,113,2,20.065,59.53430771827698,4,4,112,4
df44178eb6d052b868cfb35adf40316b648f5a6c,19.281,476.90771675109863,29,29,510,29,18.318,580.4344780445099,121,132,130,121,16.936,55.55505442619324,4,32,112,4
e1d00addb5b6d7240884536aaa57846af34a0dd5,17.406,579.5959227085114,58,58,510,58,17.642,253.09500098228455,29,56,130,29,15.347,88.46823644638062,11,57,112,11
3a52bfc5db1b13a71d5a5c6ee0cd689fb8b27895,18.257,316.9212968349457,20,20,510,20,18.883,214.76693677902222,19,22,130,19,16.729,55.879162073135376,4,24,112,4
4c35466359dec71ac083ef3b6b5ceef83fa6121c,22.049,77.29175758361816,5,5,510,5,21.179,58.22632813453674,2,7,113,2,21.228,122.24835276603699,10,37,112,10
f813554769606d59c23bcdc184d52249793d0f12,21.408,52.37408900260925,0,0,510,0,21.352,57.334657430648804,2,2,113,2,19.096,59.36381506919861,4,4,129,4
fd13970d946ccfea529a8366227af72c418da7ec,19.415,90.52239108085632,3,3,510,3,18.839,49.11969494819641,2,5,113,2,17.995,83.84780263900757,5,7,129,5
e001f8ee39f9f2b4e661c3fe3af65f53348bbabf,18.397,476.2314569950104,31,31,510,31,17.468,49.994330406188965,2,32,113,2,16.117,369.22689747810364,102,132,102,102
798a0837c1c170c700ee97ba6f14f99def51e886,19.055,239.0309419631958,30,30,510,30,18.468,59.99983048439026,2,32,113,2,18.488,56.19768810272217,2,32,102,2
a218038960e905e6c9eae80e118575a7743cae7a,17.501,591.806158542633,134,134,511,134,18.831,392.1009223461151,77,112,114,77,20.014,321.02552938461304,69,113,103,69
ee466d4b4002bc21b66f9c944263559a955c3055,22.076,54.258196115493774,0,0,511,0,21.487,58.58291816711426,2,2,114,2,22.069,59.711042165756226,2,2,103,2
ccfa072dc77d6b085d92f30d4ca667b0d6b25c4d,21.171,437.1350784301758,7,7,511,7,20.887,57.50563287734985,2,9,114,2,20.435,57.743199586868286,2,9,103,2
8616591b0c069919e332d29e1a0ccd704c1bf1a7,21.246,54.20158410072327,0,0,511,0,21.043,426.8113434314728,103,104,103,103,22.476,59.74930691719055,3,7,104,3
9fe1f24ec11c3e1c2ed5ee9db801d40a2f7a2ed6,20.722,325.26775002479553,20,20,511,20,20.829,60.33989143371582,2,22,103,2,22.243,61.02233409881592,2,22,114,2
5e54d92e6ec866dc49a750110863a3fa8b2bcf7c,20.716,406.8304581642151,40,40,511,40,20.819,441.9879641532898,103,142,103,103,20.025,77.79597020149231,4,42,114,4
b0b867e977ab853d1dfc434195c486cf0ca32dab,21.903,60.733102798461914,1,1,511,1,22.37,60.65939784049988,2,3,103,2,22.037,58.74730467796326,2,3,114,2
23e2a0b2021e87599339902353326f338505ba87,21.088,90.70239424705505,4,4,511,4,20.371,57.90969705581665,2,6,103,2,21.236,59.265639305114746,2,6,114,2
